HOUSE_MANAGE_NO,HOUSE_TY,LTTOT_TOP_AMOUNT,MODEL_NO,PBLANC_NO,SPSPLY_HSHLDCO,SUPLY_AR,SUPLY_HSHLDCO
2024910204,084.9942B,57950,02,2024910204,0,,2
2024910203,084.8442A,49660,01,2024910203,0,,8
2024910203,084.8795B,46610,02,2024910203,0,,1
2024910203,084.7544C,50590,03,2024910203,0,,7
2024910202,037.4200 ,56172,01,2024910202,0,,1
2024910202,054.6400 ,80956,02,2024910202,0,,2
2024910202,059.8600A,93537,03,2024910202,0,,5
2024910202,059.9700B,92279,04,2024910202,0,,3
2024910202,059.6500D,102723,05,2024910202,0,,1
2024910201,084.0000A,46430,01,2024910201,0,,1
2024910200,084.0000C,44940,01,2024910200,0,,1
2024910199,067.9639 ,85200,01,2024910199,0,,1
2024910199,084.5396A,108400,02,2024910199,0,,1
2024910199,084.8949B,107500,03,2024910199,0,,1
2024910198,056.7107 ,50900,01,2024910198,0,,8
2024910198,071.0210 ,61150,02,2024910198,0,,2
2024910197,074.9600A,33100,01,2024910197,0,,2
2024910197,084.9300A,37000,02,2024910197,0,,1
2024910197,084.9300B,37600,03,2024910197,0,,2
2024910197,084.9100C,37600,04,2024910197,0,,1
2024910196,084.9879A,55950,01,2024910196,0,,2
2024910196,084.9983B,55980,02,2024910196,0,,1
2024910196,084.9939C,53320,03,2024910196,0,,1
2024910195,074.9935 ,52500,01,2024910195,0,,6
2024910195,084.9924A,56740,02,2024910195,0,,4
2024910195,084.9883B,56650,03,2024910195,0,,3
2024910194,022.1000 ,24450,01,2024910194,0,,3
2024910194,033.1875 ,35100,02,2024910194,0,,1
2024910194,035.8001 ,41700,03,2024910194,0,,1
2024910194,048.5913 ,53000,04,2024910194,0,,2
2024910193,084.9670 ,39038,01,2024910193,0,,2
2024910192,059.9900A,85180,01,2024910192,0,,11
2024910192,075.4900 ,101460,02,2024910192,0,,3
2024910192,084.9400A,110990,03,2024910192,0,,8
2024910192,084.9000B,108650,04,2024910192,0,,1
2024910192,084.8700F,117170,05,2024910192,0,,2
2024910191,084.9709B,35700,01,2024910191,0,,1
2024910191,084.9339C,31200,02,2024910191,0,,1
2024910190,049.9644 ,37100,01,2024910190,0,,13
