BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,GNRL_RCEPT_BGNDE,GNRL_RCEPT_ENDDE,HMPG_ADRES,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
"(주)대승글로벌,(주)삼승개발,(주)삼승건설",2022-05-30,2022-05-30,,,http://www.bb-yemizi.com/,2022910138,화성 비봉지구 B3블록 예미지 센트럴에듀,04,무순위/잔여세대,경기도 화성시 화성비봉 공공택지지구 B3블록,18283,18997642,202501,2022910138,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910138&pblancNo=2022910138,2022-05-23,2022-05-13,,,2022-05-18,2022-05-18,13
우리자산신탁 주식회사,2022-05-30,2022-05-30,,,http://thehive-central.co.kr,2022910136,서울대입구역 더하이브 센트럴,04,무순위/잔여세대,서울특별시 관악구 봉천동 37-83번지 일원,08786,028822468,202401,2022910136,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910136&pblancNo=2022910136,2022-05-23,2022-05-13,,,2022-05-18,2022-05-18,3
(주)태영건설,2022-05-30,2022-05-30,,,http://www.힐스테이트데시앙도남.com,2022910134,힐스테이트데시앙　도남　Ｃ４ＢＬ（대구）,04,무순위/잔여세대,"대구광역시 북구 도남중앙로8길 8(국우동, 힐스테이트 데시앙 도남4단지)",41408,0533226300,202206,2022910134,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910134&pblancNo=2022910134,2022-05-23,2022-05-13,,,2022-05-18,2022-05-18,1
가야주택건설 주식회사,2022-05-27,2022-05-27,,,http://www.가야봄여름가을겨울.com,2022910137,가야 봄여름가을겨울,04,무순위/잔여세대,부산광역시 부산진구 가야동 585,47384,0516479629,202306,2022910137,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910137&pblancNo=2022910137,2022-05-20,2022-05-12,,,2022-05-17,2022-05-17,86
우리자산신탁 주식회사,2022-05-26,2022-05-26,,,http://www.seodaejeon-adelium.com/,2022910135,서대전 한국아델리움,04,무순위/잔여세대,유천동 328-50,34977,0428244493,202411,2022910135,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910135&pblancNo=2022910135,2022-05-19,2022-05-10,,,2022-05-16,2022-05-16,26
안양1동진흥아파트주택재건축정비사업조합,2022-05-26,2022-05-26,,,https://www.prugio.com/ht/2022/anyang/,2022910133,안양역 푸르지오 더샵,04,무순위/잔여세대,경기도 안양시 만안구 안양동 97-3번지 일원,13995,028036789,202410,2022910133,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910133&pblancNo=2022910133,2022-05-19,2022-05-09,,,2022-05-16,2022-05-16,3
코리아신탁(주),2022-05-23,2022-05-23,,,http://www.리체스트.com,2022910132,용문역 리체스트,04,무순위/잔여세대,"대전광역시 서구 용문동 589-14,15,18",35300,0425280802,202308,2022910132,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910132&pblancNo=2022910132,2022-05-16,2022-05-06,,,2022-05-11,2022-05-11,22
(주)지엠피글로벌,2022-05-23,2022-05-23,,,http://www.vtstyle.co.kr,2022910127,브이티스타일,04,무순위/잔여세대,"서울특별시 동대문구 장한로28가길 17 (장안동, VT Style)",02523,18998970,202205,2022910127,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910127&pblancNo=2022910127,2022-05-16,2022-05-06,,,2022-05-11,2022-05-11,12
시에스네트웍스(주),2022-05-23,2022-05-24,,,http://cantavilsuyu.co.kr,2022910126,칸타빌 수유팰리스,04,무순위/잔여세대,서울특별시 강북구 수유동 179-2외 4필지,01053,029999995,202206,2022910126,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910126&pblancNo=2022910126,2022-05-16,2022-05-06,,,2022-05-11,2022-05-11,133
대전도시공사,2022-05-27,2022-05-27,,,http://www.dcco.kr,2022910119,트리풀시티 레이크포레(갑천3BL),04,무순위/잔여세대,"대전광역시 서구 도안동로 234(도안동, 트리풀시티 레이크포레)",35353,0425309200,202207,2022910119,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910119&pblancNo=2022910119,2022-05-20,2022-05-06,,,2022-05-17,2022-05-17,4
