CNTRCT_AR,EXCLUSE_AR,GNSPLY_HSHLDCO,GP,HOUSE_MANAGE_NO,MODEL_NO,PBLANC_NO,SPSPLY_AGED_HSHLDCO,SPSPLY_NEW_MRRG_HSHLDCO,SPSPLY_YGMN_HSHLDCO,SUBSCRPT_REQST_AMOUNT,SUPLY_AMOUNT,SUPLY_AR,SUPLY_HSHLDCO,TP
140.9957,74.7155,0,-,2023850022,01,2023850022,0,54,0,10,15200,98.2364,54,74A
143.4133,74.9625,0,-,2023850022,02,2023850022,0,116,0,10,15200,100.5126,116,74B
159.4850,84.6875,0,-,2023850022,03,2023850022,0,50,0,10,16400,111.0188,50,84A
159.9813,84.9744,0,-,2023850022,04,2023850022,0,25,0,10,16400,111.3509,25,84B
160.2438,84.7913,0,-,2023850022,05,2023850022,0,23,0,10,16400,111.7181,23,84C
121.9784,59.9536,0,-,2023850021,01,2023850021,11,36,12,10,17900,83.6704,59,59A
123.2580,59.9960,0,-,2023850021,02,2023850021,5,41,26,10,17800,84.9230,72,59B
121.7906,59.9449,0,-,2023850021,03,2023850021,5,27,28,10,17700,83.4882,60,59C
148.3305,75.2470,0,-,2023850021,04,2023850021,4,0,5,10,21000,100.2506,9,75
162.8704,84.7229,0,-,2023850021,05,2023850021,3,0,4,10,22900,108.7358,7,84
55.3274,25.4877,0,-,2023850020,01,2023850020,0,0,30,10,2200,36.7139,30,25O
64.4778,29.7284,89,-,2023850020,02,2023850020,0,0,0,10,3300,42.7674,89,29O
122.6650,59.5821,19,-,2023850020,03,2023850020,0,0,0,10,6000,83.0177,19,59A
123.2079,59.5277,10,-,2023850020,04,2023850020,0,0,0,10,6000,83.5968,10,59B
127.2181,59.6274,119,-,2023850020,05,2023850020,0,0,0,10,6600,83.6727,119,59O
164.4988,76.9993,1,-,2023850020,06,2023850020,0,0,0,10,8600,108.2670,1,76O
167.2072,78.3205,2,-,2023850020,07,2023850020,0,0,0,10,8700,110.0105,2,78O
55.5473,25.4461,0,-,2023850019,01,2023850019,0,0,14,10,2200,38.0251,14,25A
55.5922,25.4877,0,-,2023850019,02,2023850019,0,0,14,10,2200,38.0413,14,25O
59.0250,29.9421,8,-,2023850019,03,2023850019,0,0,0,10,3000,41.5212,8,29A
64.7867,29.7284,0,-,2023850019,04,2023850019,0,0,32,10,2600,44.3157,32,29O
64.7867,29.7284,38,-,2023850019,05,2023850019,0,0,0,10,3300,44.3157,38,29O-1
115.0493,59.0347,16,-,2023850019,06,2023850019,0,0,0,10,6000,80.5383,16,59C
127.8376,59.6274,56,-,2023850019,07,2023850019,0,0,0,10,6600,86.7781,56,59O
121.9784,59.9536,0,-,2023850018,01,2023850018,12,44,13,10,17900,83.6704,69,59A
123.2580,59.9960,0,-,2023850018,02,2023850018,5,41,26,10,17800,84.9230,72,59B
121.7906,59.9449,0,-,2023850018,03,2023850018,5,27,27,10,17700,83.4882,59,59C
148.3305,75.2470,0,-,2023850018,04,2023850018,4,1,7,10,21000,100.2506,12,75
162.8704,84.7229,0,-,2023850018,05,2023850018,4,0,0,10,22900,108.7358,4,84
148.3924,59.9860,1,-,2023850017,01,2023850017,0,0,0,30,57570,81.6244,1,59A-1
148.3924,59.9860,0,-,2023850017,02,2023850017,2,5,0,30,45985,81.6244,7,59A-2
149.3581,59.9884,0,-,2023850017,03,2023850017,1,1,1,30,43350,82.5875,3,59B-2
187.3454,75.9614,3,-,2023850017,04,2023850017,0,0,0,30,61987,102.7959,3,75
209.5720,84.9832,20,-,2023850017,05,2023850017,0,0,0,30,77377,114.9806,20,84A
