BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,HMPG_ADRES,HOUSE_DTL_SECD,HOUSE_DTL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SEARCH_HOUSE_SECD,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
코리아신탁(주),2024-10-24,2024-10-24,http://www.여의도하이앤드1ST.com,02,오피스텔,2024950072,여의도 하이앤드 1ST,02,도시형/오피스텔/생활숙박시설/민간임대,"서울특별시 영등포구 영등포동3가 1-1,2,3,5",07303,16685995,202502,2024950072,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950072&pblancNo=2024950072&houseSecd=02,2024-10-23,2024-10-10,0202,2024-10-15,2024-10-18,85
코리아신탁(주),2024-10-27,2024-10-29,https://www.마포에피트어바닉.com,02,오피스텔,2024950060,마포 에피트 어바닉 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 마포구 아현동 617-1번지 일원,04130,15553111,202807,2024950060,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950060&pblancNo=2024950060&houseSecd=02,2024-10-22,2024-10-10,0202,2024-10-16,2024-10-16,203
한울,2024-10-22,2024-10-23,https://www.더하이클래스.com,02,오피스텔,2024950068,한울에이치밸리움 더하이클래스 (전세가능),02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 강서구 화곡동 987-5외 4필지,07687,0236627003,202411,2024950068,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950068&pblancNo=2024950068&houseSecd=02,2024-10-21,2024-10-08,0202,2024-10-14,2024-10-16,24
석미건설(주),2024-10-17,2024-10-18,http://www.seokmi.co.kr,03,민간임대,2024950066,증평 석미아데나 에듀포레,02,도시형/오피스텔/생활숙박시설/민간임대,충청북도 증평군 증평읍 증평리 661번지 일대,27945,15511105,202605,2024950066,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950066&pblancNo=2024950066&houseSecd=02,2024-10-16,2024-10-04,0203,2024-10-10,2024-10-11,80
(주)한원그룹,2024-10-14,2024-10-14,http://www.hanwon.co/imun,01,도시형생활주택,2024950067,이문 월드메르디앙 힐트리움 더 테라스,02,도시형/오피스텔/생활숙박시설/민간임대,"서울시 동대문구 이문동 348-11, 348-12",02451,029955949,202410,2024950067,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950067&pblancNo=2024950067&houseSecd=02,2024-10-11,2024-09-27,0201,2024-10-07,2024-10-07,4
케이비부동산신탁(주),2024-10-08,2024-10-08,http://prahills-sosa.com/,02,오피스텔,2024950065,현대프라힐스 소사역 더프라임,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 부천시 소사구 소사본동 70-6,14704,0323282001,202410,2024950065,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950065&pblancNo=2024950065&houseSecd=02,2024-10-07,2024-09-25,0202,2024-09-30,2024-09-30,2
호원초등학교주변지구 주택재개발정비사업조합,2024-10-10,2024-10-11,http://seokmico.15440835.com/adena/res/home.php?go=sale.list&mid=10,03,민간임대,2024950064,평촌 어바인퍼스트 더샵,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 안양시 동안구 호계동 956번지 일원,14116,15662706,202410,2024950064,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950064&pblancNo=2024950064&houseSecd=02,2024-10-08,2024-09-25,0203,2024-09-30,2024-10-02,99
주식회사 건영,2024-10-09,2024-10-11,https://laporte-blanc.co.kr,04,생활형숙박시설,2024950063,라포르테 블랑 여의도,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 영등포구 국회대로68길 24 (여의도동),07237,16009186,202411,2024950063,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950063&pblancNo=2024950063&houseSecd=02,2024-10-08,2024-09-25,0204,2024-09-30,2024-10-02,10
창원뉴스테이 주식회사,2024-10-10,2024-10-11,http://www.ssgreencore2.com,03,공공지원민간임대,2024850021,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원[창원안민 공공지원 민간임대주택 공급촉진지구],51547,15668728,202502,2024850021,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850021&pblancNo=2024850021&houseSecd=03,2024-10-07,2024-09-25,0303,2024-09-30,2024-09-30,90
코람코반포프로젝트금융투자(주),2024-10-07,2024-10-08,http://lainsignia.co.kr,02,오피스텔,2024950059,인시그니아 반포,02,도시형/오피스텔/생활숙박시설/민간임대,"서울특별시 서초구 방배동 750-20, 22번지",06552,025779557,202508,2024950059,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950059&pblancNo=2024950059&houseSecd=02,2024-10-04,2024-09-23,0202,2024-09-30,2024-09-30,24
